timestamp_unix,elapsed_sec,x_m,y_m,heading_deg,vo_x_m,vo_y_m,speed,steering,cds_value
1783405920.456,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3072
1783405920.557,0.13,0.0,0.0,0.0,0.0,0.0,0,0.0,2.225
1783405920.657,0.23,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3265
1783405920.757,0.33,0.0,0.0,0.0,0.0,0.0,0,0.0,2.4192
1783405920.858,0.43,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3725
1783405920.958,0.53,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2371
1783405921.06,0.64,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2677
1783405921.16,0.74,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3958
1783405921.26,0.84,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3958
1783405921.363,0.94,0.0,0.0,0.0,0.0,0.0,0,0.0,2.4055
1783405921.466,1.04,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3733
1783405921.571,1.15,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3628
1783405921.672,1.25,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2467
1783405921.773,1.35,0.0,0.0,0.0,0.0,0.0,0,0.0,2.308
1783405921.873,1.45,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2274
1783405921.974,1.55,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3394
1783405922.074,1.65,0.0,0.0,0.0,0.0,0.0,0,0.0,2.4192
1783405922.174,1.75,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3716
1783405922.275,1.85,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2411
1783405922.375,1.95,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2637
1783405922.476,2.05,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3878
1783405922.576,2.15,0.0,0.0,0.0,0.0,0.0,0,0.0,2.416
1783405922.676,2.25,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3104
1783405922.777,2.35,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2234
1783405922.877,2.45,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3257
1783405922.977,2.55,0.0,0.0,0.0,0.0,0.0,0,0.0,2.4176
1783405923.077,2.65,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3837
1783405923.178,2.75,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2516
1783405923.278,2.85,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2612
1783405923.378,2.95,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3032
1783405923.479,3.05,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3523
1783405923.579,3.16,0.0,0.0,0.0,0.0,0.0,0,0.0,2.4119
1783405923.679,3.26,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2991
1783405923.78,3.36,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2266
1783405923.88,3.46,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3386
1783405923.98,3.56,0.0,0.0,0.0,0.0,0.0,0,0.0,2.42
1783405924.081,3.66,0.0,0.0,0.0,0.0,0.0,0,0.0,2.362
1783405924.181,3.76,0.0,0.0,0.0,0.0,0.0,0,0.0,2.233
1783405924.282,3.86,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2774
1783405924.382,3.96,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3982
1783405924.482,4.06,0.0,0.0,0.0,0.0,0.0,0,0.0,2.4087
1783405924.583,4.16,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2935
1783405924.683,4.26,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2266
1783405924.783,4.36,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3378
1783405924.883,4.46,0.0,0.0,0.0,0.0,0.0,0,0.0,2.4208
1783405924.984,4.56,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3644
1783405925.084,4.66,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2347
1783405925.184,4.76,0.0,0.0,0.0,0.0,0.0,0,0.0,2.2741
1783405925.285,4.86,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3974
